,date,codneg,preult,voltot
0,2018-01-02,AALR3,14.89,1402991.0
1,2018-01-02,AZUL4,27.15,18112471.0
2,2018-01-02,BKBR3,17.72,24510991.0
3,2018-01-02,BRDT3,17.23,63660801.0
4,2018-01-02,CAML3,7.82,12189619.0
5,2018-01-02,CRFB3,15.49,30078381.0
6,2018-01-02,IRBR3,33.71,19631694.0
7,2018-01-02,MOVI3,7.35,7975644.0
8,2018-01-02,OMGE3,17.3,2349466.0
9,2018-01-02,PARD3,33.5,16023013.0
10,2018-01-02,PSVM11,0.78,2418.0
11,2018-01-02,WIZS3,12.15,6829904.0
12,2018-01-03,AALR3,14.96,8765964.0
13,2018-01-03,AZUL4,27.06,8099152.0
14,2018-01-03,BKBR3,17.9,48712380.0
15,2018-01-03,BRDT3,17.3,125293802.0
16,2018-01-03,CAML3,7.81,13016758.0
17,2018-01-03,CRFB3,15.39,21931206.0
18,2018-01-03,IRBR3,33.71,27439298.0
19,2018-01-03,MOVI3,7.53,14934676.0
20,2018-01-03,OMGE3,17.2,3215898.0
21,2018-01-03,PARD3,33.2,17087255.0
22,2018-01-03,WIZS3,12.05,14061797.0
23,2018-01-04,AALR3,15.09,4355491.0
24,2018-01-04,AZUL4,27.23,24706944.0
25,2018-01-04,BKBR3,17.9,23310158.0
26,2018-01-04,BRDT3,17.2,25121882.0
27,2018-01-04,CAML3,8.0,17998262.0
28,2018-01-04,CRFB3,15.11,18655083.0
29,2018-01-04,IRBR3,34.0,35455892.0
30,2018-01-04,MOVI3,7.75,15877708.0
31,2018-01-04,OMGE3,17.0,3422040.0
32,2018-01-04,PARD3,33.07,7358493.0
33,2018-01-04,PSVM11,0.78,624.0
34,2018-01-04,WIZS3,11.95,10452757.0
35,2018-01-05,AALR3,15.05,1982292.0
36,2018-01-05,AZUL4,27.2,18897218.0
37,2018-01-05,BKBR3,17.8,18944250.0
38,2018-01-05,BRDT3,17.5,56186358.0
39,2018-01-05,CAML3,8.18,9455460.0
40,2018-01-05,CRFB3,15.0,26193724.0
41,2018-01-05,IRBR3,34.44,12413094.0
42,2018-01-05,MOVI3,7.93,12811145.0
43,2018-01-05,OMGE3,17.3,2698729.0
