date,codneg,preabe,preult
2017-01-02,AALR3,14.62,14.6
2017-01-02,PARC3,13.51,13.35
2017-01-03,AALR3,14.74,14.9
2017-01-03,PARC3,13.52,13.64
2017-01-04,AALR3,14.9,14.9
2017-01-04,PARC3,13.79,14.3
2017-01-05,AALR3,14.9,15.35
2017-01-05,PARC3,14.17,14.51
2017-01-06,AALR3,15.28,15.45
2017-01-06,PARC3,14.48,14.01
2017-01-09,AALR3,15.45,15.21
2017-01-09,PARC3,14.05,13.95
2017-01-10,AALR3,15.11,14.89
2017-01-10,PARC3,14.0,13.7
2017-01-11,AALR3,14.97,14.9
2017-01-11,PARC3,13.8,13.68
2017-01-12,AALR3,14.89,15.0
2017-01-12,PARC3,13.68,13.85
2017-01-13,AALR3,15.13,15.0
2017-01-13,PARC3,13.95,13.5
2017-01-16,AALR3,15.0,14.8
2017-01-16,PARC3,13.55,13.78
2017-01-17,AALR3,14.72,14.8
2017-01-17,PARC3,13.8,13.65
2017-01-18,AALR3,14.9,15.02
2017-01-18,PARC3,13.6,14.32
2017-01-19,AALR3,14.91,14.75
2017-01-19,PARC3,14.28,14.36
2017-01-20,AALR3,14.62,14.45
2017-01-20,PARC3,14.34,14.28
2017-01-23,AALR3,14.36,14.48
2017-01-23,PARC3,14.27,14.01
2017-01-24,AALR3,14.39,14.39
2017-01-24,PARC3,14.02,14.0
2017-01-26,AALR3,14.36,14.29
2017-01-26,PARC3,14.01,14.32
2017-01-27,AALR3,14.27,14.25
2017-01-27,PARC3,14.32,14.23
2017-01-30,AALR3,14.25,14.03
2017-01-30,PARC3,13.94,14.11
2017-01-31,AALR3,14.0,13.94
2017-01-31,PARC3,14.13,14.1
2017-02-01,AALR3,13.99,13.8
2017-02-01,PARC3,14.2,14.06
2017-02-02,AALR3,13.72,13.67
2017-02-02,PARC3,13.94,13.91
2017-02-03,AALR3,13.67,12.95
2017-02-03,PARC3,13.95,13.9
2017-02-06,AALR3,13.15,12.85
2017-02-06,PARC3,13.98,13.8
2017-02-07,AALR3,13.09,13.45
2017-02-07,PARC3,13.95,13.8
2017-02-08,AALR3,13.6,13.4
2017-02-08,MOVI3,7.35,7.3
2017-02-08,PARC3,13.74,13.85
2017-02-09,AALR3,13.4,13.25
2017-02-09,MOVI3,7.37,7.55
2017-02-09,PARC3,13.87,13.79
2017-02-10,AALR3,13.25,13.47
2017-02-10,MOVI3,7.55,7.7
2017-02-10,PARC3,13.8,13.8
2017-02-13,AALR3,13.55,13.5
2017-02-13,MOVI3,7.76,7.54
2017-02-13,PARC3,13.79,13.91
2017-02-14,AALR3,13.62,13.61
2017-02-14,MOVI3,7.6,7.5
2017-02-14,PARC3,13.9,13.81
2017-02-14,PARD3,20.52,20.7
2017-02-15,AALR3,13.6,13.48
2017-02-15,MOVI3,7.52,7.5
2017-02-15,PARC3,13.92,14.65
2017-02-15,PARD3,20.91,20.6
2017-02-16,AALR3,13.4,13.27
2017-02-16,MOVI3,7.45,7.5
2017-02-16,PARC3,14.55,14.6
2017-02-16,PARD3,20.6,20.45
2017-02-17,AALR3,13.16,13.05
2017-02-17,MOVI3,7.53,7.5
2017-02-17,PARC3,14.63,15.0
2017-02-17,PARD3,20.45,20.5
2017-02-20,AALR3,13.1,13.12
2017-02-20,MOVI3,7.5,7.4
2017-02-20,PARC3,15.01,15.15
2017-02-20,PARD3,20.53,20.59
2017-02-21,AALR3,13.21,12.99
2017-02-21,MOVI3,7.45,7.4
2017-02-21,PARC3,15.25,15.0
2017-02-21,PARD3,20.65,20.67
2017-02-22,AALR3,12.94,12.91
2017-02-22,MOVI3,7.4,7.57
2017-02-22,PARC3,15.2,15.25
2017-02-22,PARD3,20.67,20.4
2017-02-23,AALR3,13.12,13.07
2017-02-23,MOVI3,7.64,7.56
2017-02-23,PARC3,15.25,15.63
2017-02-23,PARD3,20.38,20.29
2017-02-24,AALR3,12.95,12.74
2017-02-24,MOVI3,7.54,7.65
2017-02-24,PARC3,15.7,15.69
2017-02-24,PARD3,20.35,20.2
2017-03-01,AALR3,12.87,12.89
2017-03-01,MOVI3,7.51,7.63
2017-03-01,PARC3,16.06,16.22
2017-03-01,PARD3,20.2,20.05
2017-03-02,AALR3,12.89,12.7
2017-03-02,MOVI3,7.54,7.5
2017-03-02,PARC3,16.28,16.0
2017-03-02,PARD3,20.0,19.98
2017-03-03,AALR3,12.82,12.51
2017-03-03,MOVI3,7.56,7.75
2017-03-03,PARC3,16.0,16.15
2017-03-03,PARD3,19.92,20.3
2017-03-06,AALR3,12.6,12.09
2017-03-06,MOVI3,7.69,7.51
2017-03-06,PARC3,16.16,16.23
2017-03-06,PARD3,20.44,20.4
2017-03-07,AALR3,12.11,12.67
2017-03-07,MOVI3,7.6,7.51
2017-03-07,PARC3,16.23,16.5
2017-03-07,PARD3,20.34,20.12
2017-03-08,AALR3,12.59,12.99
2017-03-08,MOVI3,7.61,7.59
2017-03-08,PARC3,16.5,16.1
2017-03-08,PARD3,20.12,20.35
2017-03-09,AALR3,13.0,13.0
2017-03-09,MOVI3,7.64,7.56
2017-03-09,PARC3,15.96,15.94
2017-03-09,PARD3,20.34,19.89
2017-03-10,AALR3,13.1,12.98
2017-03-10,MOVI3,7.55,7.7
2017-03-10,PARC3,16.05,15.59
2017-03-10,PARD3,19.91,19.75
2017-03-13,AALR3,12.99,13.02
2017-03-13,MOVI3,7.7,7.99
2017-03-13,PARC3,15.67,15.6
2017-03-13,PARD3,19.6,19.7
2017-03-14,AALR3,13.05,13.21
2017-03-14,MOVI3,8.05,8.11
2017-03-14,PARC3,15.64,15.7
2017-03-14,PARD3,19.7,19.75
2017-03-15,AALR3,13.29,13.3
2017-03-15,MOVI3,8.24,8.46
2017-03-15,PARC3,15.95,16.34
2017-03-15,PARD3,19.52,20.01
2017-03-16,AALR3,13.37,13.25
2017-03-16,MOVI3,8.7,8.6
2017-03-16,PARC3,16.7,16.85
2017-03-16,PARD3,20.04,19.75
2017-03-17,AALR3,13.25,12.99
2017-03-17,MOVI3,8.78,8.47
2017-03-17,PARC3,16.99,17.05
2017-03-17,PARD3,19.76,19.55
2017-03-20,AALR3,12.99,12.98
2017-03-20,MOVI3,8.87,8.9
2017-03-20,PARC3,17.11,17.38
2017-03-20,PARD3,19.7,19.99
2017-03-21,AALR3,13.19,13.01
2017-03-21,MOVI3,9.1,8.8
2017-03-21,PARC3,17.38,17.29
2017-03-21,PARD3,19.96,19.5
2017-03-22,AALR3,12.83,13.0
2017-03-22,MOVI3,8.95,8.72
2017-03-22,PARC3,17.3,17.49
2017-03-22,PARD3,19.4,19.3
2017-03-23,AALR3,13.3,13.99
2017-03-23,MOVI3,8.51,8.7
2017-03-23,PARC3,17.49,17.16
2017-03-23,PARD3,19.32,19.35
2017-03-24,AALR3,14.05,14.65
2017-03-24,MOVI3,8.66,8.55
2017-03-24,PARC3,17.16,16.9
2017-03-24,PARD3,19.35,19.8
2017-03-27,AALR3,14.5,14.88
2017-03-27,MOVI3,8.48,8.51
2017-03-27,PARC3,16.91,16.71
2017-03-27,PARD3,19.8,20.0
2017-03-28,AALR3,14.85,14.99
2017-03-28,MOVI3,8.45,8.47
2017-03-28,PARC3,16.76,16.61
2017-03-28,PARD3,20.45,19.7
2017-03-29,AALR3,14.95,14.84
2017-03-29,MOVI3,8.5,8.27
2017-03-29,PARC3,16.98,17.23
2017-03-29,PARD3,19.7,19.5
2017-03-30,AALR3,14.72,14.8
2017-03-30,MOVI3,8.27,8.32
2017-03-30,PARC3,17.31,17.68
2017-03-30,PARD3,19.31,19.55
2017-03-31,AALR3,14.88,15.63
