date,codneg,preult,voltot
2019-01-02,AALR3,13.25,3523962.0
2019-01-02,AZUL4,36.33,100544797.0
2019-01-02,BIDI4,39.46,11568363.0
2019-01-02,BKBR3,20.65,29490100.0
2019-01-02,BRDT3,26.0,139851394.0
2019-01-02,CAML3,7.3,6505427.0
2019-01-02,CRFB3,18.95,86120929.0
2019-01-02,GNDI3,29.56,53920250.0
2019-01-02,HAPV3,31.1,40182952.0
2019-01-02,IRBR3,83.3,80048229.0
2019-01-02,MOVI3,9.05,7658843.0
2019-01-02,OMGE3,18.24,18104212.0
2019-01-02,PARD3,19.66,33065574.0
2019-01-02,WIZS3,7.2,3418228.0
2019-01-03,AALR3,13.3,1684930.0
2019-01-03,AZUL4,36.37,59429425.0
2019-01-03,BIDI4,38.32,21711255.0
2019-01-03,BKBR3,21.21,22750818.0
2019-01-03,BRDT3,26.6,142513512.0
2019-01-03,CAML3,7.59,5756057.0
2019-01-03,CRFB3,19.76,57527824.0
2019-01-03,GNDI3,29.5,38287229.0
2019-01-03,HAPV3,30.39,28306731.0
2019-01-03,IRBR3,82.32,76323584.0
2019-01-03,MOVI3,9.3,7715875.0
2019-01-03,OMGE3,18.4,2849338.0
2019-01-03,PARD3,19.7,10667897.0
2019-01-03,WIZS3,7.25,4218719.0
2019-01-04,AALR3,13.44,1944352.0
2019-01-04,AZUL4,36.25,38208587.0
2019-01-04,BIDI4,37.85,29813659.0
2019-01-04,BKBR3,21.15,38845295.0
2019-01-04,BRDT3,26.7,337223936.0
2019-01-04,CAML3,7.63,4419680.0
2019-01-04,CRFB3,19.2,79021747.0
2019-01-04,GNDI3,29.51,76069703.0
2019-01-04,HAPV3,30.5,53490224.0
2019-01-04,IRBR3,81.4,116694508.0
2019-01-04,MOVI3,9.08,10479463.0
2019-01-04,OMGE3,18.68,4647387.0
2019-01-04,PARD3,19.87,3600778.0
2019-01-04,WIZS3,7.15,4779853.0
2019-01-07,AALR3,13.34,1566187.0
2019-01-07,AZUL4,35.3,43019240.0
2019-01-07,BIDI4,38.0,6186212.0
2019-01-07,BKBR3,21.0,10739393.0
2019-01-07,BRDT3,26.85,103984313.0
2019-01-07,CAML3,7.73,4161523.0
2019-01-07,CRFB3,18.85,82299648.0
2019-01-07,GNDI3,29.1,73257450.0
2019-01-07,HAPV3,30.96,43482858.0
2019-01-07,IRBR3,82.22,51121074.0
2019-01-07,MOVI3,9.09,6434219.0
2019-01-07,OMGE3,18.76,4679958.0
2019-01-07,PARD3,19.9,25734888.0
2019-01-07,WIZS3,7.09,3368036.0
2019-01-08,AALR3,13.19,1625791.0
2019-01-08,AZUL4,34.72,45302928.0
2019-01-08,BIDI4,39.81,45515028.0
2019-01-08,BKBR3,21.05,44458729.0
2019-01-08,BRDT3,25.95,120246214.0
2019-01-08,CAML3,7.56,2515858.0
2019-01-08,CRFB3,18.66,34798852.0
2019-01-08,GNDI3,29.5,213477725.0
2019-01-08,HAPV3,30.5,25153166.0
2019-01-08,IRBR3,83.0,135629779.0
2019-01-08,MOVI3,8.97,5187157.0
2019-01-08,OMGE3,18.9,1967073.0
2019-01-08,PARD3,19.32,2352969.0
2019-01-08,WIZS3,7.15,4233958.0
2019-01-09,AALR3,13.14,1305109.0
2019-01-09,AZUL4,35.15,45426854.0
2019-01-09,BIDI4,39.95,17333913.0
2019-01-09,BKBR3,21.0,20809063.0
2019-01-09,BRDT3,26.01,475456236.0
2019-01-09,CAML3,7.56,3457777.0
2019-01-09,CRFB3,19.11,59936547.0
2019-01-09,GNDI3,30.93,114801597.0
2019-01-09,HAPV3,31.0,21014178.0
2019-01-09,IRBR3,82.78,93678920.0
2019-01-09,MOVI3,9.17,14751841.0
2019-01-09,OMGE3,18.9,2601883.0
2019-01-09,PARD3,19.44,4309236.0
2019-01-09,WIZS3,7.35,4794604.0
2019-01-10,AALR3,13.35,1016997.0
2019-01-10,AZUL4,35.91,69345934.0
2019-01-10,BIDI4,39.3,9351009.0
2019-01-10,BKBR3,21.0,8778677.0
2019-01-10,BRDT3,25.75,214504509.0
2019-01-10,CAML3,7.55,3588433.0
2019-01-10,CRFB3,19.28,40775510.0
2019-01-10,GNDI3,31.8,60973785.0
2019-01-10,HAPV3,31.69,23056463.0
2019-01-10,IRBR3,81.08,82225030.0
2019-01-10,MOVI3,9.12,3862880.0
2019-01-10,OMGE3,19.0,7874797.0
2019-01-10,PARD3,19.4,1784058.0
2019-01-10,WIZS3,7.68,7781661.0
2019-01-11,AALR3,13.14,1755452.0
2019-01-11,AZUL4,37.2,102859688.0
2019-01-11,BIDI4,39.0,29236039.0
2019-01-11,BKBR3,20.85,22498659.0
2019-01-11,BRDT3,25.8,91936823.0
2019-01-11,CAML3,7.55,6162497.0
2019-01-11,CRFB3,19.3,42388090.0
2019-01-11,GNDI3,31.85,87267529.0
2019-01-11,HAPV3,31.34,26615489.0
2019-01-11,IRBR3,79.45,238487408.0
2019-01-11,MOVI3,9.33,9427258.0
2019-01-11,OMGE3,18.9,6631749.0
2019-01-11,PARD3,19.46,30351004.0
2019-01-11,WIZS3,7.8,7958792.0
2019-01-14,AALR3,13.15,2646827.0
2019-01-14,AZUL4,37.47,84759307.0
2019-01-14,BIDI4,40.6,17349681.0
2019-01-14,BKBR3,21.9,67708256.0
2019-01-14,BRDT3,26.3,86005767.0
2019-01-14,CAML3,7.35,6384328.0
2019-01-14,CRFB3,19.57,48358632.0
2019-01-14,GNDI3,32.46,58610127.0
2019-01-14,HAPV3,32.11,46012944.0
2019-01-14,IRBR3,79.1,104727710.0
2019-01-14,MOVI3,9.4,6398641.0
2019-01-14,OMGE3,18.9,2076416.0
2019-01-14,PARD3,19.9,1818593.0
2019-01-14,WIZS3,7.98,5592199.0
2019-01-15,AALR3,13.27,9188100.0
2019-01-15,AZUL4,37.0,44273704.0
2019-01-15,BIDI4,39.81,32752323.0
2019-01-15,BKBR3,22.2,70526374.0
2019-01-15,BRDT3,26.07,89984096.0
2019-01-15,CAML3,7.19,9010343.0
2019-01-15,CRFB3,19.7,51007600.0
2019-01-15,GNDI3,33.32,105060905.0
2019-01-15,HAPV3,31.7,71564050.0
2019-01-15,IRBR3,80.0,105813352.0
2019-01-15,MOVI3,9.2,9926777.0
2019-01-15,OMGE3,18.9,1681902.0
2019-01-15,PARD3,19.26,2542185.0
2019-01-15,WIZS3,8.34,7012686.0
2019-01-16,AALR3,13.33,2892315.0
2019-01-16,AZUL4,37.0,24017259.0
2019-01-16,BIDI4,40.3,9454019.0
2019-01-16,BKBR3,21.55,20923585.0
2019-01-16,BRDT3,26.33,60105845.0
2019-01-16,CAML3,7.1,12162630.0
2019-01-16,CRFB3,19.8,61809334.0
2019-01-16,GNDI3,34.0,82796719.0
2019-01-16,HAPV3,33.4,111638185.0
2019-01-16,IRBR3,83.0,216404644.0
2019-01-16,MOVI3,9.58,12830326.0
2019-01-16,OMGE3,18.94,2857542.0
2019-01-16,PARD3,18.7,11121963.0
2019-01-16,WIZS3,8.14,4564372.0
2019-01-17,AALR3,13.41,4126327.0
2019-01-17,AZUL4,37.05,104149739.0
2019-01-17,BIDI4,41.9,24774607.0
2019-01-17,BKBR3,21.56,23789445.0
2019-01-17,BRDT3,26.5,126929698.0
2019-01-17,CAML3,7.09,19649649.0
2019-01-17,CRFB3,19.8,61540021.0
2019-01-17,GNDI3,33.99,134057259.0
2019-01-17,HAPV3,33.68,31628835.0
2019-01-17,IRBR3,83.6,140914607.0
2019-01-17,MOVI3,9.5,11441078.0
2019-01-17,OMGE3,19.11,3611620.0
2019-01-17,PARD3,19.23,6380650.0
2019-01-17,WIZS3,8.3,4696041.0
2019-01-17,PSVM11,0.55,550.0
2019-01-18,AALR3,14.16,3215384.0
2019-01-18,AZUL4,36.36,242097581.0
2019-01-18,BIDI4,42.34,14322450.0
2019-01-18,BKBR3,20.55,21355886.0
2019-01-18,BRDT3,26.43,218588750.0
2019-01-18,CAML3,7.06,10517717.0
2019-01-18,CRFB3,19.8,82065090.0
2019-01-18,GNDI3,34.9,121679115.0
2019-01-18,HAPV3,34.2,48552069.0
2019-01-18,IRBR3,86.21,94530001.0
2019-01-18,MOVI3,9.59,6551019.0
2019-01-18,OMGE3,19.1,2922681.0
2019-01-18,PARD3,19.22,6445753.0
2019-01-18,WIZS3,8.0,21611736.0
2019-01-21,AALR3,14.3,1983722.0
2019-01-21,AZUL4,36.18,39912057.0
2019-01-21,BIDI4,43.2,15990889.0
2019-01-21,BKBR3,20.6,5894300.0
2019-01-21,BRDT3,26.2,46162445.0
2019-01-21,CAML3,7.27,5720667.0
2019-01-21,CRFB3,20.03,26261743.0
2019-01-21,GNDI3,34.5,26352590.0
2019-01-21,HAPV3,34.4,26522819.0
2019-01-21,IRBR3,86.05,24217574.0
2019-01-21,MOVI3,9.73,8414384.0
2019-01-21,OMGE3,18.95,2957075.0
2019-01-21,PARD3,19.16,3336205.0
2019-01-21,WIZS3,7.83,4990806.0
2019-01-21,PSVM11,0.5,7507.0
2019-01-22,AALR3,14.19,12895138.0
2019-01-22,AZUL4,35.5,28595062.0
2019-01-22,BIDI4,43.2,17649203.0
2019-01-22,BKBR3,20.35,14521492.0
2019-01-22,BRDT3,25.44,72714863.0
2019-01-22,CAML3,7.28,5268200.0
2019-01-22,CRFB3,19.6,68482648.0
2019-01-22,GNDI3,33.7,257104446.0
2019-01-22,HAPV3,34.02,24066197.0
2019-01-22,IRBR3,86.59,37141229.0
2019-01-22,MOVI3,9.65,12839860.0
2019-01-22,OMGE3,19.0,8120041.0
2019-01-22,PARD3,19.38,31510001.0
2019-01-22,WIZS3,7.85,9091618.0
2019-01-23,AALR3,14.41,3991257.0
2019-01-23,AZUL4,36.0,42475085.0
2019-01-23,BIDI4,43.44,6113402.0
2019-01-23,BKBR3,20.35,24944252.0
2019-01-23,BRDT3,26.35,122842121.0
2019-01-23,CAML3,7.02,26372380.0
2019-01-23,CRFB3,19.98,43086831.0
2019-01-23,GNDI3,33.8,55429978.0
2019-01-23,HAPV3,33.67,24269827.0
2019-01-23,IRBR3,86.51,44578745.0
2019-01-23,MOVI3,9.4,15512447.0
2019-01-23,OMGE3,19.36,5117417.0
2019-01-23,PARD3,19.69,4744304.0
2019-01-23,WIZS3,7.77,4178746.0
2019-01-24,AALR3,14.82,2134045.0
2019-01-24,AZUL4,36.06,43973966.0
2019-01-24,BIDI4,41.25,72359826.0
2019-01-24,BKBR3,20.7,16437444.0
2019-01-24,BRDT3,26.66,120496923.0
2019-01-24,CAML3,7.24,36260178.0
2019-01-24,CRFB3,20.01,41888887.0
2019-01-24,GNDI3,34.61,43454066.0
2019-01-24,HAPV3,33.33,37355939.0
2019-01-24,IRBR3,87.93,52313556.0
2019-01-24,MOVI3,9.66,17448526.0
2019-01-24,OMGE3,19.74,4643040.0
2019-01-24,PARD3,19.61,5898072.0
2019-01-24,WIZS3,7.68,4760876.0
2019-01-28,AALR3,14.7,1283873.0
2019-01-28,AZUL4,35.06,52959480.0
