,date,codneg,preult,voltot
0,2020-01-02,AALR3,19.0,10946196.0
1,2020-01-02,AZUL4,58.8,114889921.0
2,2020-01-02,BIDI4,15.7,42321084.0
3,2020-01-02,BKBR3,17.35,15970049.0
4,2020-01-02,BMGB4,9.59,26273853.0
5,2020-01-02,BRDT3,30.74,117658179.0
6,2020-01-02,CAML3,9.2,13523423.0
7,2020-01-02,CEAB3,18.1,19813256.0
8,2020-01-02,SBFG3,37.43,48162856.0
9,2020-01-02,CRFB3,23.93,75795048.0
10,2020-01-02,GNDI3,71.66,286526192.0
11,2020-01-02,HAPV3,66.44,171862942.0
12,2020-01-02,IRBR3,39.89,169972338.0
13,2020-01-02,MOVI3,19.58,36779376.0
14,2020-01-02,NEOE3,24.6,49054639.0
15,2020-01-02,OMGE3,39.3,47742493.0
16,2020-01-02,PARD3,27.51,6273830.0
17,2020-01-02,VIVA3,29.18,22733905.0
18,2020-01-02,WIZS3,14.35,8412558.0
19,2020-01-02,PSVM11,2.62,3007.0
20,2020-01-03,AALR3,19.0,11415928.0
21,2020-01-03,AZUL4,56.76,216176500.0
22,2020-01-03,BIDI4,15.98,43138326.0
23,2020-01-03,BKBR3,17.05,14897142.0
24,2020-01-03,BMGB4,9.51,11202586.0
25,2020-01-03,BRDT3,30.56,191854310.0
26,2020-01-06,AALR3,18.99,7846388.0
27,2020-01-06,AZUL4,55.0,226226554.0
28,2020-01-06,BIDI4,17.25,99668233.0
29,2020-01-06,BKBR3,17.23,11501600.0
30,2020-01-06,BMGB4,9.29,13040008.0
31,2020-01-06,BRDT3,29.03,368720576.0
32,2020-01-03,CAML3,9.25,12254509.0
33,2020-01-06,CAML3,9.06,9045195.0
34,2020-01-03,CEAB3,18.0,27894395.0
35,2020-01-06,CEAB3,17.81,17364776.0
36,2020-01-03,SBFG3,37.97,95417308.0
37,2020-01-06,SBFG3,38.0,46673692.0
38,2020-01-03,CRFB3,24.55,376055784.0
39,2020-01-06,CRFB3,23.48,90365148.0
40,2020-01-03,GNDI3,73.0,589432949.0
41,2020-01-06,GNDI3,69.99,388947929.0
42,2020-01-03,HAPV3,69.25,644803982.0
43,2020-01-06,HAPV3,66.96,147753252.0
44,2020-01-03,IRBR3,39.58,141272985.0
45,2020-01-06,IRBR3,39.21,187080856.0
46,2020-01-03,MOVI3,20.1,49166130.0
47,2020-01-06,MOVI3,20.04,33689205.0
48,2020-01-03,NEOE3,24.25,101837500.0
49,2020-01-06,NEOE3,24.4,58133186.0
50,2020-01-03,OMGE3,40.57,65564672.0
51,2020-01-06,OMGE3,39.68,28776715.0
52,2020-01-03,PARD3,28.19,6763772.0
53,2020-01-06,PARD3,28.29,7531403.0
54,2020-01-03,PSVM11,2.29,24055.0
55,2020-01-06,PSVM11,2.28,456.0
56,2020-01-03,VIVA3,29.0,32572599.0
57,2020-01-06,VIVA3,28.49,12741695.0
58,2020-01-03,WIZS3,14.35,10306680.0
59,2020-01-06,WIZS3,15.13,11165101.0
60,2020-01-07,AALR3,18.94,1825644.0
61,2020-01-08,AALR3,18.97,5358306.0
62,2020-01-09,AALR3,19.9,27020826.0
63,2020-01-10,AALR3,20.95,30783237.0
64,2020-01-13,AALR3,21.88,25114109.0
65,2020-01-07,AZUL4,56.82,150529390.0
66,2020-01-08,AZUL4,56.92,161313627.0
67,2020-01-09,AZUL4,57.28,121147930.0
68,2020-01-10,AZUL4,57.5,95664666.0
69,2020-01-13,AZUL4,58.3,126781470.0
70,2020-01-07,BIDI4,17.53,101815372.0
