"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.04.2021","119.371,48","120.064,36","120.994,84","119.203,20","8,60M","-0,58%"
"20.04.2021","120.061,99","120.925,06","121.353,82","119.841,33","7,81M","-0,72%"
"19.04.2021","120.933,78","121.116,05","121.974,21","120.682,17","10,03M","-0,15%"
"16.04.2021","121.113,93","120.700,67","121.333,36","120.198,90","7,95M","0,34%"
"15.04.2021","120.700,67","120.290,26","121.408,72","120.083,97","7,95M","0,34%"
"14.04.2021","120.294,68","119.297,53","120.871,45","119.297,53","10,08M","0,84%"
"13.04.2021","119.297,13","118.809,35","119.529,16","118.041,14","8,98M","0,41%"
"12.04.2021","118.811,74","117.660,77","118.811,74","117.660,77","7,00M","0,97%"
"09.04.2021","117.669,90","118.312,63","118.643,03","117.336,12","7,74M","-0,54%"
"08.04.2021","118.313,23","117.623,75","118.849,75","117.486,01","8,78M","0,59%"
"07.04.2021","117.623,58","117.498,87","118.303,28","116.747,95","8,54M","0,11%"
"06.04.2021","117.498,87","117.519,41","118.212,60","117.175,98","6,80M","-0,02%"
"05.04.2021","117.518,44","115.262,30","117.667,85","115.262,30","7,25M","1,97%"
"01.04.2021","115.253,31","116.644,46","117.087,69","114.990,54","8,02M","-1,18%"
"31.03.2021","116.633,72","116.849,67","117.248,51","115.932,42","10,66M","-0,18%"
"30.03.2021","116.849,67","115.413,73","117.090,07","114.999,15","8,14M","1,24%"
"29.03.2021","115.418,72","114.776,48","115.552,84","114.095,70","7,46M","0,56%"
"26.03.2021","114.780,62","113.750,08","115.415,60","113.305,43","8,66M","0,91%"
"25.03.2021","113.749,90","112.064,63","114.024,30","110.926,74","10,31M","1,50%"
"24.03.2021","112.064,19","113.272,08","114.822,60","112.064,19","9,83M","-1,06%"
"23.03.2021","113.261,80","114.976,94","115.598,66","113.061,89","8,30M","-1,49%"
"22.03.2021","114.978,86","116.222,06","116.224,73","113.619,52","8,16M","-1,07%"
"19.03.2021","116.221,58","114.837,21","116.446,09","114.610,07","12,34M","1,21%"
"18.03.2021","114.835,43","116.549,08","116.750,66","114.301,95","9,92M","-1,47%"
"17.03.2021","116.549,44","114.017,62","116.736,36","113.428,10","9,43M","2,22%"
"16.03.2021","114.018,78","114.845,17","114.974,22","113.370,08","7,80M","-0,72%"
"15.03.2021","114.850,74","114.092,94","114.903,23","113.634,95","8,22M","0,60%"
"12.03.2021","114.160,40","114.983,76","114.983,76","113.253,10","8,11M","-0,72%"
"11.03.2021","114.983,76","112.781,82","115.126,94","112.775,50","12,09M","1,96%"
"10.03.2021","112.776,49","111.331,26","112.928,14","109.998,86","12,51M","1,30%"
"09.03.2021","111.330,62","110.611,42","112.524,50","109.343,23","12,14M","0,65%"
"08.03.2021","110.611,58","115.202,23","115.202,23","110.267,80","13,70M","-3,98%"
"05.03.2021","115.202,23","112.690,44","115.503,58","112.503,93","13,25M","2,23%"
"04.03.2021","112.690,17","111.190,75","114.433,38","111.163,12","14,22M","1,35%"
"03.03.2021","111.183,95","111.529,18","112.398,24","107.465,78","15,14M","-0,32%"
"02.03.2021","111.539,80","110.328,47","112.428,08","107.319,15","14,82M","1,09%"
"01.03.2021","110.334,83","110.035,82","112.445,12","110.035,72","11,24M","0,27%"
"26.02.2021","110.035,17","112.260,21","113.466,21","109.827,09","14,62M","-1,98%"
"25.02.2021","112.256,36","115.668,39","116.506,22","111.764,30","12,47M","-2,95%"
"24.02.2021","115.667,78","115.229,45","116.207,59","114.668,41","11,40M","0,38%"
"23.02.2021","115.227,46","112.675,98","115.380,38","112.667,40","15,17M","2,27%"
"22.02.2021","112.667,70","118.388,07","118.388,07","111.650,26","21,77M","-4,87%"
"19.02.2021","118.430,53","119.199,18","119.249,77","117.867,30","10,40M","-0,64%"
"18.02.2021","119.198,97","120.360,70","120.845,47","118.514,98","10,72M","-0,96%"
"17.02.2021","120.355,79","119.421,13","120.597,33","118.879,97","8,33M","0,78%"
"12.02.2021","119.428,72","119.299,83","119.763,36","118.162,68","7,66M","0,11%"
"11.02.2021","119.299,83","118.439,75","120.282,76","118.439,75","7,57M","0,73%"
"10.02.2021","118.435,33","119.471,83","119.738,13","117.969,94","8,64M","-0,87%"
