preco
2.22
12.33
20
7.5
19
21
15
27.24
15.6
9
18
15
16.5
23.5
18.5
12.5
15.65
24
11.6
16.5
19.3
17.25
19
10
10.5
24.75
9.9
17
12.65
9.5
8.5
13.75
9.4
8.5
7.56
9.35
12.2
12.4
8.97
9.25
10
10.25
5.55
21
29.5
57.92
4.5
