date,codneg,preult,voltot
2016-01-04,WIZS3,9.56,1924334.0
2016-01-05,WIZS3,9.8,2943792.0
2016-01-06,WIZS3,9.69,3245359.0
2016-01-07,WIZS3,9.65,2115712.0
2016-01-08,WIZS3,9.79,4226342.0
2016-01-11,WIZS3,9.7,1647960.0
2016-01-12,WIZS3,10.35,1262714.0
2016-01-13,WIZS3,10.31,1179617.0
2016-01-14,WIZS3,10.0,2791973.0
2016-01-15,WIZS3,9.9,2080837.0
2016-01-18,WIZS3,9.75,982866.0
2016-01-19,WIZS3,9.64,920427.0
2016-01-20,WIZS3,9.45,2517000.0
2016-01-21,WIZS3,9.45,2446676.0
2016-01-22,WIZS3,9.44,2026591.0
2016-01-26,WIZS3,9.35,724490.0
2016-01-27,WIZS3,9.77,1019710.0
2016-01-28,WIZS3,9.75,1732090.0
2016-01-29,WIZS3,10.1,3614888.0
2016-02-01,WIZS3,10.28,2070894.0
2016-02-02,WIZS3,10.34,1426957.0
2016-02-03,WIZS3,10.0,1963629.0
2016-02-04,WIZS3,10.0,3983533.0
2016-02-05,WIZS3,10.25,801424.0
2016-02-10,WIZS3,10.25,954141.0
2016-02-11,WIZS3,10.1,2877739.0
2016-02-11,PSVM11,1.4,1960.0
2016-02-12,WIZS3,10.15,2133944.0
2016-02-15,WIZS3,10.0,2177283.0
2016-02-16,WIZS3,9.96,896318.0
2016-02-17,WIZS3,9.86,2639851.0
2016-02-18,WIZS3,9.94,3057214.0
2016-02-19,WIZS3,10.0,2259408.0
2016-02-22,WIZS3,9.99,2377380.0
2016-02-23,WIZS3,10.0,888299.0
2016-02-24,WIZS3,9.52,2824401.0
2016-02-25,WIZS3,9.49,1862710.0
2016-02-26,WIZS3,9.56,1183768.0
2016-02-29,WIZS3,9.7,4800983.0
2016-03-01,WIZS3,9.99,3392923.0
2016-03-02,WIZS3,10.08,4389734.0
2016-03-03,WIZS3,10.3,4825307.0
2016-03-04,WIZS3,10.8,4239899.0
2016-03-07,WIZS3,10.6,2749114.0
2016-03-08,WIZS3,10.87,4543360.0
2016-03-09,WIZS3,11.0,6630941.0
2016-03-10,WIZS3,11.5,12811314.0
2016-03-10,PSVM11,1.35,1890.0
2016-03-11,WIZS3,12.15,8605206.0
2016-03-14,WIZS3,11.83,4571805.0
2016-03-15,WIZS3,11.7,5657068.0
2016-03-16,WIZS3,11.7,2644473.0
2016-03-17,WIZS3,12.07,3963577.0
2016-03-18,WIZS3,12.48,1937285.0
2016-03-21,WIZS3,11.92,8492830.0
2016-03-22,WIZS3,12.0,4552425.0
2016-03-23,WIZS3,11.8,3032485.0
2016-03-24,WIZS3,11.6,1444542.0
2016-03-28,WIZS3,11.83,1892887.0
2016-03-29,WIZS3,12.15,2313193.0
2016-03-30,WIZS3,12.48,3997276.0
2016-03-31,WIZS3,12.2,9087602.0
2016-04-01,WIZS3,11.81,3999746.0
2016-04-04,WIZS3,11.68,1661951.0
2016-04-05,WIZS3,11.5,4194918.0
2016-04-06,WIZS3,11.35,2024791.0
2016-04-07,WIZS3,11.0,5207348.0
2016-04-08,WIZS3,11.24,4211823.0
2016-04-11,WIZS3,11.0,2929784.0
2016-04-12,WIZS3,11.09,2638458.0
2016-04-12,PSVM11,1.3,650.0
2016-04-13,WIZS3,10.97,3042680.0
2016-04-14,WIZS3,10.89,5282281.0
2016-04-15,WIZS3,10.75,5422685.0
2016-04-18,WIZS3,10.96,2483156.0
2016-04-19,WIZS3,11.15,3810727.0
2016-04-20,WIZS3,11.29,5607343.0
2016-04-22,WIZS3,11.45,2032768.0
2016-04-25,WIZS3,11.4,1504549.0
2016-04-26,WIZS3,11.37,4441137.0
2016-04-27,WIZS3,11.38,3330215.0
2016-04-28,WIZS3,11.4,2753277.0
2016-04-29,WIZS3,11.55,3739207.0
2016-05-02,WIZS3,11.69,3855011.0
2016-05-03,WIZS3,11.63,2859863.0
2016-05-04,WIZS3,11.53,1645918.0
2016-05-05,WIZS3,11.35,1832025.0
2016-05-06,WIZS3,11.0,1913749.0
2016-05-09,WIZS3,11.04,2152366.0
2016-05-10,WIZS3,11.16,3933110.0
2016-05-11,WIZS3,11.1,2697276.0
2016-05-11,PSVM11,1.26,252.0
2016-05-12,WIZS3,11.27,1536718.0
2016-05-13,WIZS3,11.15,1794195.0
2016-05-16,WIZS3,10.95,1843284.0
2016-05-17,WIZS3,11.08,1821056.0
2016-05-18,WIZS3,11.09,2957442.0
2016-05-19,WIZS3,11.0,2491136.0
2016-05-20,WIZS3,11.1,1714982.0
2016-05-23,WIZS3,11.48,858134.0
2016-05-24,WIZS3,11.15,1796078.0
2016-05-25,WIZS3,11.25,716467.0
2016-05-27,WIZS3,11.05,1999310.0
2016-05-30,WIZS3,11.45,858292.0
2016-05-31,WIZS3,11.51,2899181.0
2016-06-01,WIZS3,11.5,2000446.0
2016-06-02,WIZS3,11.38,1423526.0
2016-06-03,WIZS3,11.3,2721316.0
2016-06-06,WIZS3,11.3,2308640.0
2016-06-07,WIZS3,11.2,1021090.0
2016-06-08,WIZS3,11.25,4029197.0
2016-06-09,WIZS3,11.35,1850963.0
2016-06-10,WIZS3,11.23,1321482.0
2016-06-13,WIZS3,11.1,1393150.0
2016-06-14,WIZS3,11.2,980201.0
2016-06-15,WIZS3,11.15,1157061.0
2016-06-16,WIZS3,11.13,2951916.0
2016-06-17,WIZS3,11.6,4995972.0
2016-06-20,WIZS3,11.7,1079189.0
2016-06-21,WIZS3,11.7,1452718.0
2016-06-22,WIZS3,11.97,2422098.0
2016-06-23,WIZS3,12.27,1682886.0
2016-06-24,WIZS3,12.25,994220.0
2016-06-27,WIZS3,12.3,961529.0
2016-06-28,WIZS3,12.5,1405526.0
2016-06-29,WIZS3,12.66,10106408.0
2016-06-30,WIZS3,13.0,12403042.0
2016-07-01,WIZS3,12.89,3491321.0
2016-07-04,WIZS3,12.8,850099.0
2016-07-05,WIZS3,12.4,2293122.0
2016-07-06,WIZS3,11.95,5362981.0
2016-07-07,WIZS3,12.6,3649028.0
2016-07-08,WIZS3,12.5,3948118.0
2016-07-11,WIZS3,12.67,3249890.0
2016-07-12,WIZS3,12.55,2842691.0
2016-07-12,PSVM11,1.25,625.0
2016-07-13,WIZS3,12.5,842077.0
2016-07-13,PSVM11,1.31,1955.0
2016-07-14,WIZS3,12.44,1679835.0
2016-07-15,WIZS3,11.77,5611690.0
2016-07-18,WIZS3,12.05,6937783.0
2016-07-18,PSVM11,1.3,3900.0
2016-07-19,WIZS3,12.0,2751220.0
2016-07-19,PSVM11,1.3,8710.0
2016-07-20,WIZS3,12.0,3277094.0
2016-07-20,PSVM11,1.3,15990.0
2016-07-21,WIZS3,12.2,3624749.0
2016-07-22,WIZS3,12.3,6563998.0
2016-07-25,WIZS3,12.43,2009533.0
2016-07-26,WIZS3,12.6,1008702.0
2016-07-27,WIZS3,12.35,1815169.0
2016-07-28,WIZS3,12.6,3690759.0
2016-07-29,WIZS3,13.01,3820190.0
2016-08-01,WIZS3,13.0,8909036.0
2016-08-02,WIZS3,12.7,7516937.0
2016-08-03,WIZS3,13.1,1322322.0
2016-08-04,WIZS3,12.76,5822894.0
2016-08-05,WIZS3,13.0,8308808.0
2016-08-08,WIZS3,13.08,1626987.0
2016-08-09,WIZS3,13.15,3224539.0
2016-08-10,WIZS3,12.8,1847453.0
2016-08-11,WIZS3,13.1,3629170.0
2016-08-12,WIZS3,12.8,2458779.0
2016-08-15,WIZS3,12.9,1073304.0
2016-08-15,PSVM11,1.5,1500.0
2016-08-16,WIZS3,12.93,1927247.0
2016-08-17,WIZS3,12.8,774451.0
2016-08-17,PSVM11,1.5,1349.0
2016-08-18,WIZS3,12.73,1030209.0
2016-08-19,WIZS3,12.99,2239046.0
2016-08-19,PSVM11,1.3,2080.0
2016-08-22,WIZS3,12.76,806148.0
2016-08-23,WIZS3,12.72,1637504.0
2016-08-24,WIZS3,12.8,15396241.0
2016-08-25,WIZS3,12.8,8016773.0
2016-08-25,PSVM11,1.3,1300.0
2016-08-26,WIZS3,12.84,4598333.0
2016-08-26,PSVM11,1.67,2171.0
2016-08-29,WIZS3,12.96,8248437.0
2016-08-29,PSVM11,1.69,509.0
2016-08-30,WIZS3,13.0,1417102.0
2016-08-30,PSVM11,1.69,339.0
2016-08-31,WIZS3,13.0,7469395.0
2016-09-01,WIZS3,13.41,7701514.0
2016-09-02,WIZS3,13.55,9775089.0
2016-09-05,WIZS3,13.36,3100794.0
2016-09-05,PSVM11,1.7,340.0
2016-09-06,WIZS3,13.61,5908195.0
2016-09-08,WIZS3,13.77,7989676.0
2016-09-09,WIZS3,14.06,5530259.0
2016-09-09,PSVM11,1.7,170.0
2016-09-12,WIZS3,14.65,6271066.0
2016-09-13,WIZS3,14.4,4054445.0
2016-09-14,WIZS3,14.87,8155292.0
2016-09-15,WIZS3,15.1,6615293.0
2016-09-16,WIZS3,14.8,17066858.0
2016-09-19,WIZS3,14.47,2796466.0
2016-09-20,WIZS3,14.53,3431565.0
2016-09-21,WIZS3,14.3,3969103.0
2016-09-22,WIZS3,14.65,4863513.0
2016-09-23,WIZS3,14.8,9413688.0
2016-09-26,WIZS3,14.28,466204.0
2016-09-27,WIZS3,14.81,4128955.0
2016-09-27,PSVM11,1.7,1700.0
2016-09-28,WIZS3,14.55,1043601.0
2016-09-29,WIZS3,14.55,1180566.0
2016-09-30,WIZS3,14.6,2015454.0
2016-10-03,WIZS3,14.6,2185911.0
2016-10-04,WIZS3,14.6,1405853.0
2016-10-05,WIZS3,14.7,2137935.0
2016-10-06,WIZS3,14.85,3284569.0
2016-10-07,WIZS3,15.1,4570241.0
2016-10-10,WIZS3,15.6,4276232.0
2016-10-11,WIZS3,15.25,4334017.0
2016-10-13,WIZS3,15.2,5649008.0
2016-10-14,WIZS3,15.32,5343255.0
2016-10-17,WIZS3,15.5,3361786.0
2016-10-18,WIZS3,15.2,4863885.0
2016-10-19,WIZS3,15.19,3449944.0
2016-10-20,WIZS3,14.6,27661162.0
2016-10-21,WIZS3,14.8,19473416.0
2016-10-21,PSVM11,1.7,5100.0
2016-10-24,WIZS3,14.8,14299747.0
2016-10-25,WIZS3,15.2,3531020.0
2016-10-25,PSVM11,1.7,170.0
2016-10-26,WIZS3,14.88,1739044.0
2016-10-27,WIZS3,15.15,3632106.0
2016-10-28,AALR3,19.2,122334647.0
2016-10-28,WIZS3,15.11,1996457.0
2016-10-31,AALR3,18.06,45857231.0
2016-10-31,WIZS3,15.09,5552817.0
2016-10-31,PSVM11,1.7,1700.0
2016-11-01,AALR3,17.9,17676981.0
2016-11-01,WIZS3,14.99,1668914.0
2016-11-03,AALR3,17.99,11132994.0
2016-11-03,WIZS3,14.95,2370952.0
2016-11-03,PSVM11,1.7,9978.0
2016-11-04,AALR3,17.75,6955112.0
2016-11-04,WIZS3,14.83,1597704.0
2016-11-07,AALR3,17.65,9079715.0
2016-11-07,WIZS3,14.85,1382661.0
