date,codneg,preabe,preult
2020-01-02,AALR3,18.29,19.0
2020-01-02,AZUL4,58.78,58.8
2020-01-02,BIDI4,15.95,15.7
2020-01-02,BKBR3,17.95,17.35
2020-01-02,BMGB4,9.94,9.59
2020-01-02,BRDT3,30.25,30.74
2020-01-02,CAML3,9.01,9.2
2020-01-02,CEAB3,17.99,18.1
2020-01-02,CNTO3,35.41,37.43
2020-01-02,CRFB3,23.43,23.93
2020-01-02,GNDI3,69.3,71.66
2020-01-02,HAPV3,65.2,66.44
2020-01-02,IRBR3,39.0,39.89
2020-01-02,MOVI3,19.18,19.58
2020-01-02,NEOE3,24.85,24.6
2020-01-02,OMGE3,36.75,39.3
2020-01-02,PARD3,27.22,27.51
2020-01-02,VIVA3,29.29,29.18
2020-01-02,WIZS3,14.12,14.35
2020-01-02,PSVM11,2.5,2.62
2020-01-03,AALR3,18.94,19.0
2020-01-03,AZUL4,57.04,56.76
2020-01-03,BIDI4,15.35,15.98
2020-01-03,BKBR3,17.04,17.05
2020-01-03,BMGB4,9.4,9.51
2020-01-03,BRDT3,30.41,30.56
2020-01-06,AALR3,19.0,18.99
2020-01-06,AZUL4,56.61,55.0
2020-01-06,BIDI4,15.92,17.25
2020-01-06,BKBR3,17.32,17.23
2020-01-06,BMGB4,9.5,9.29
2020-01-06,BRDT3,29.8,29.03
2020-01-03,CAML3,9.1,9.25
2020-01-06,CAML3,9.18,9.06
2020-01-03,CEAB3,17.7,18.0
2020-01-06,CEAB3,18.0,17.81
2020-01-03,CNTO3,37.0,37.97
2020-01-06,CNTO3,37.97,38.0
2020-01-03,CRFB3,23.82,24.55
2020-01-06,CRFB3,24.24,23.48
2020-01-03,GNDI3,70.9,73.0
2020-01-06,GNDI3,72.8,69.99
2020-01-03,HAPV3,65.75,69.25
2020-01-06,HAPV3,68.3,66.96
2020-01-03,IRBR3,39.05,39.58
2020-01-06,IRBR3,39.6,39.21
2020-01-03,MOVI3,19.3,20.1
2020-01-06,MOVI3,19.85,20.04
2020-01-03,NEOE3,24.44,24.25
2020-01-06,NEOE3,24.25,24.4
2020-01-03,OMGE3,38.5,40.57
2020-01-06,OMGE3,40.38,39.68
2020-01-03,PARD3,27.4,28.19
2020-01-06,PARD3,27.87,28.29
2020-01-03,PSVM11,2.11,2.29
2020-01-06,PSVM11,2.28,2.28
2020-01-03,VIVA3,29.0,29.0
2020-01-06,VIVA3,28.96,28.49
2020-01-03,WIZS3,14.33,14.35
2020-01-06,WIZS3,14.35,15.13
2020-01-07,AALR3,19.05,18.94
2020-01-08,AALR3,18.93,18.97
2020-01-09,AALR3,19.0,19.9
2020-01-10,AALR3,20.0,20.95
2020-01-13,AALR3,20.96,21.88
2020-01-07,AZUL4,55.79,56.82
2020-01-08,AZUL4,56.31,56.92
2020-01-09,AZUL4,57.06,57.28
2020-01-10,AZUL4,57.52,57.5
2020-01-13,AZUL4,57.5,58.3
2020-01-07,BIDI4,17.3,17.53
2020-01-08,BIDI4,17.55,17.38
2020-01-09,BIDI4,17.38,17.26
2020-01-10,BIDI4,17.7,17.8
2020-01-13,BIDI4,18.2,17.99
2020-01-07,BKBR3,17.4,17.34
2020-01-08,BKBR3,17.57,17.23
2020-01-09,BKBR3,17.25,17.14
2020-01-10,BKBR3,17.16,17.42
2020-01-13,BKBR3,17.42,17.98
2020-01-07,BMGB4,9.35,9.3
2020-01-08,BMGB4,9.31,9.25
2020-01-09,BMGB4,9.32,9.28
2020-01-10,BMGB4,9.27,9.3
2020-01-13,BMGB4,9.3,9.76
2020-01-07,BRDT3,29.12,28.99
2020-01-08,BRDT3,29.15,28.85
2020-01-09,BRDT3,29.0,28.09
2020-01-10,BRDT3,28.3,28.2
2020-01-13,BRDT3,28.45,28.79
2020-01-07,CAML3,9.11,8.86
2020-01-08,CAML3,8.84,8.92
2020-01-09,CAML3,8.98,8.94
2020-01-10,CAML3,8.94,9.31
2020-01-13,CAML3,9.39,9.3
2020-01-07,CEAB3,17.97,17.18
2020-01-08,CEAB3,17.29,16.27
2020-01-09,CEAB3,16.47,15.71
2020-01-10,CEAB3,15.9,16.18
2020-01-13,CEAB3,16.49,16.8
2020-01-07,CNTO3,38.0,38.65
2020-01-08,CNTO3,38.43,38.65
2020-01-09,CNTO3,38.72,38.9
2020-01-10,CNTO3,38.9,39.15
2020-01-13,CNTO3,39.35,40.26
2020-01-07,CRFB3,23.36,23.34
2020-01-08,CRFB3,23.28,22.9
2020-01-09,CRFB3,22.95,23.4
2020-01-10,CRFB3,23.62,23.64
2020-01-13,CRFB3,23.66,23.43
2020-01-07,GNDI3,70.17,67.6
2020-01-08,GNDI3,68.0,68.0
2020-01-09,GNDI3,67.83,68.37
2020-01-10,GNDI3,68.78,68.78
2020-01-07,HAPV3,66.6,65.12
