date,codneg,preabe,preult
2019-01-02,AALR3,13.31,13.25
2019-01-02,AZUL4,35.97,36.33
2019-01-02,BIDI4,38.55,39.46
2019-01-02,BKBR3,20.59,20.65
2019-01-02,BRDT3,25.87,26.0
2019-01-02,CAML3,7.05,7.3
2019-01-02,CRFB3,17.9,18.95
2019-01-02,GNDI3,29.08,29.56
2019-01-02,HAPV3,31.29,31.1
2019-01-02,IRBR3,83.44,83.3
2019-01-02,MOVI3,8.6,9.05
2019-01-02,OMGE3,17.45,18.24
2019-01-02,PARD3,18.97,19.66
2019-01-02,WIZS3,7.01,7.2
2019-01-03,AALR3,13.21,13.3
2019-01-03,AZUL4,36.19,36.37
2019-01-03,BIDI4,39.21,38.32
2019-01-03,BKBR3,21.2,21.21
2019-01-03,BRDT3,25.75,26.6
2019-01-03,CAML3,7.39,7.59
2019-01-03,CRFB3,18.72,19.76
2019-01-03,GNDI3,29.69,29.5
2019-01-03,HAPV3,31.06,30.39
2019-01-03,IRBR3,83.2,82.32
2019-01-03,MOVI3,9.05,9.3
2019-01-03,OMGE3,18.49,18.4
2019-01-03,PARD3,19.65,19.7
2019-01-03,WIZS3,7.2,7.25
2019-01-04,AALR3,13.49,13.44
2019-01-04,AZUL4,36.48,36.25
2019-01-04,BIDI4,38.74,37.85
2019-01-04,BKBR3,21.36,21.15
2019-01-04,BRDT3,26.88,26.7
2019-01-04,CAML3,7.65,7.63
2019-01-04,CRFB3,19.88,19.2
2019-01-04,GNDI3,29.83,29.51
2019-01-04,HAPV3,30.48,30.5
2019-01-04,IRBR3,83.25,81.4
2019-01-04,MOVI3,9.3,9.08
2019-01-04,OMGE3,18.5,18.68
2019-01-04,PARD3,20.12,19.87
2019-01-04,WIZS3,7.3,7.15
2019-01-07,AALR3,13.43,13.34
2019-01-07,AZUL4,36.16,35.3
2019-01-07,BIDI4,37.85,38.0
2019-01-07,BKBR3,21.01,21.0
2019-01-07,BRDT3,27.19,26.85
2019-01-07,CAML3,7.65,7.73
2019-01-07,CRFB3,19.19,18.85
2019-01-07,GNDI3,29.7,29.1
2019-01-07,HAPV3,30.5,30.96
2019-01-07,IRBR3,81.75,82.22
2019-01-07,MOVI3,9.1,9.09
2019-01-07,OMGE3,18.67,18.76
2019-01-07,PARD3,20.08,19.9
2019-01-07,WIZS3,7.15,7.09
2019-01-08,AALR3,13.3,13.19
2019-01-08,AZUL4,35.59,34.72
2019-01-08,BIDI4,38.62,39.81
2019-01-08,BKBR3,21.0,21.05
2019-01-08,BRDT3,27.08,25.95
2019-01-08,CAML3,7.73,7.56
2019-01-08,CRFB3,18.82,18.66
2019-01-08,GNDI3,29.2,29.5
2019-01-08,HAPV3,30.95,30.5
2019-01-08,IRBR3,82.3,83.0
2019-01-08,MOVI3,9.1,8.97
2019-01-08,OMGE3,18.88,18.9
2019-01-08,PARD3,19.79,19.32
2019-01-08,WIZS3,7.11,7.15
2019-01-09,AALR3,13.23,13.14
2019-01-09,AZUL4,34.85,35.15
2019-01-09,BIDI4,40.29,39.95
2019-01-09,BKBR3,21.2,21.0
2019-01-09,BRDT3,26.22,26.01
2019-01-09,CAML3,7.63,7.56
2019-01-09,CRFB3,18.67,19.11
2019-01-09,GNDI3,29.7,30.93
2019-01-09,HAPV3,30.44,31.0
2019-01-09,IRBR3,83.61,82.78
2019-01-09,MOVI3,9.01,9.17
2019-01-09,OMGE3,19.05,18.9
2019-01-09,PARD3,19.48,19.44
2019-01-09,WIZS3,7.23,7.35
2019-01-10,AALR3,13.11,13.35
2019-01-10,AZUL4,35.26,35.91
2019-01-10,BIDI4,40.0,39.3
2019-01-10,BKBR3,21.08,21.0
2019-01-10,BRDT3,26.15,25.75
2019-01-10,CAML3,7.6,7.55
2019-01-10,CRFB3,19.03,19.28
2019-01-10,GNDI3,30.99,31.8
2019-01-10,HAPV3,30.91,31.69
2019-01-10,IRBR3,82.94,81.08
2019-01-10,MOVI3,9.19,9.12
2019-01-10,OMGE3,18.95,19.0
2019-01-10,PARD3,19.63,19.4
2019-01-10,WIZS3,7.35,7.68
2019-01-11,AALR3,13.36,13.14
2019-01-11,AZUL4,36.0,37.2
2019-01-11,BIDI4,39.3,39.0
2019-01-11,BKBR3,20.85,20.85
2019-01-11,BRDT3,25.75,25.8
2019-01-11,CAML3,7.7,7.55
2019-01-11,CRFB3,19.33,19.3
2019-01-11,GNDI3,31.81,31.85
2019-01-11,HAPV3,31.35,31.34
2019-01-11,IRBR3,81.3,79.45
2019-01-11,MOVI3,9.15,9.33
2019-01-11,OMGE3,18.91,18.9
2019-01-11,PARD3,19.24,19.46
2019-01-11,WIZS3,7.67,7.8
2019-01-14,AALR3,13.16,13.15
2019-01-14,AZUL4,37.2,37.47
2019-01-14,BIDI4,39.25,40.6
2019-01-14,BKBR3,20.84,21.9
2019-01-14,BRDT3,25.96,26.3
2019-01-14,CAML3,7.6,7.35
2019-01-14,CRFB3,19.3,19.57
2019-01-14,GNDI3,31.9,32.46
2019-01-14,HAPV3,31.54,32.11
2019-01-14,IRBR3,79.56,79.1
2019-01-14,MOVI3,9.34,9.4
2019-01-14,OMGE3,18.77,18.9
2019-01-14,PARD3,19.74,19.9
2019-01-14,WIZS3,7.83,7.98
2019-01-15,AALR3,13.17,13.27
2019-01-15,AZUL4,37.5,37.0
2019-01-15,BIDI4,40.66,39.81
2019-01-15,BKBR3,21.9,22.2
2019-01-15,BRDT3,26.4,26.07
2019-01-15,CAML3,7.38,7.19
2019-01-15,CRFB3,19.57,19.7
2019-01-15,GNDI3,32.6,33.32
2019-01-15,HAPV3,32.13,31.7
2019-01-15,IRBR3,79.11,80.0
2019-01-15,MOVI3,9.5,9.2
2019-01-15,OMGE3,18.8,18.9
2019-01-15,PARD3,19.95,19.26
2019-01-15,WIZS3,8.02,8.34
2019-01-16,AALR3,13.27,13.33
2019-01-16,AZUL4,37.01,37.0
2019-01-16,BIDI4,40.19,40.3
2019-01-16,BKBR3,22.1,21.55
2019-01-16,BRDT3,26.1,26.33
2019-01-16,CAML3,7.23,7.1
2019-01-16,CRFB3,19.74,19.8
2019-01-16,GNDI3,33.28,34.0
2019-01-16,HAPV3,31.86,33.4
2019-01-16,IRBR3,80.5,83.0
2019-01-16,MOVI3,9.25,9.58
2019-01-16,OMGE3,18.98,18.94
2019-01-16,PARD3,19.4,18.7
2019-01-16,WIZS3,8.36,8.14
2019-01-17,AALR3,13.3,13.41
2019-01-17,AZUL4,37.32,37.05
2019-01-17,BIDI4,40.6,41.9
2019-01-17,BKBR3,21.67,21.56
2019-01-17,BRDT3,26.4,26.5
2019-01-17,CAML3,7.1,7.09
2019-01-17,CRFB3,19.87,19.8
2019-01-17,GNDI3,34.11,33.99
2019-01-17,HAPV3,33.52,33.68
2019-01-17,IRBR3,83.39,83.6
2019-01-17,MOVI3,9.65,9.5
2019-01-17,OMGE3,18.95,19.11
2019-01-17,PARD3,18.72,19.23
2019-01-17,WIZS3,8.14,8.3
2019-01-17,PSVM11,0.55,0.55
2019-01-18,AALR3,13.41,14.16
2019-01-18,AZUL4,37.1,36.36
2019-01-18,BIDI4,42.3,42.34
2019-01-18,BKBR3,21.5,20.55
2019-01-18,BRDT3,26.5,26.43
2019-01-18,CAML3,7.14,7.06
