date,codneg,preabe,preult
2016-01-04,PARC3,9.65,9.56
2016-01-05,PARC3,9.52,9.8
2016-01-06,PARC3,9.67,9.69
2016-01-07,PARC3,9.7,9.65
2016-01-08,PARC3,9.8,9.79
2016-01-11,PARC3,9.79,9.7
2016-01-12,PARC3,9.9,10.35
2016-01-13,PARC3,10.33,10.31
2016-01-14,PARC3,10.34,10.0
2016-01-15,PARC3,9.98,9.9
2016-01-18,PARC3,9.97,9.75
2016-01-19,PARC3,9.96,9.64
2016-01-20,PARC3,9.52,9.45
2016-01-21,PARC3,9.45,9.45
2016-01-22,PARC3,9.45,9.44
2016-01-26,PARC3,9.38,9.35
2016-01-27,PARC3,9.3,9.77
2016-01-28,PARC3,9.63,9.75
2016-01-29,PARC3,9.76,10.1
2016-02-01,PARC3,10.1,10.28
2016-02-02,PARC3,10.26,10.34
2016-02-03,PARC3,10.3,10.0
2016-02-04,PARC3,9.97,10.0
2016-02-05,PARC3,10.0,10.25
2016-02-10,PARC3,10.15,10.25
2016-02-11,PARC3,10.28,10.1
2016-02-12,PARC3,10.22,10.15
2016-02-15,PARC3,10.15,10.0
2016-02-16,PARC3,9.99,9.96
2016-02-17,PARC3,9.96,9.86
2016-02-18,PARC3,9.82,9.94
2016-02-19,PARC3,9.9,10.0
2016-02-22,PARC3,10.1,9.99
2016-02-23,PARC3,10.15,10.0
2016-02-24,PARC3,9.88,9.52
2016-02-25,PARC3,9.58,9.49
2016-02-26,PARC3,9.41,9.56
2016-02-29,PARC3,9.6,9.7
2016-03-01,PARC3,9.71,9.99
2016-03-02,PARC3,9.95,10.08
2016-03-03,PARC3,10.08,10.3
2016-03-04,PARC3,10.3,10.8
2016-03-07,PARC3,10.8,10.6
2016-03-08,PARC3,10.6,10.87
2016-03-09,PARC3,10.86,11.0
2016-03-10,PARC3,11.09,11.5
2016-03-11,PARC3,11.41,12.15
2016-03-14,PARC3,12.0,11.83
2016-03-15,PARC3,11.8,11.7
2016-03-16,PARC3,11.71,11.7
2016-03-17,PARC3,11.94,12.07
2016-03-18,PARC3,12.0,12.48
2016-03-21,PARC3,12.3,11.92
2016-03-22,PARC3,11.91,12.0
2016-03-23,PARC3,11.96,11.8
2016-03-24,PARC3,11.69,11.6
2016-03-28,PARC3,11.89,11.83
2016-03-29,PARC3,11.8,12.15
2016-03-30,PARC3,12.0,12.48
2016-03-31,PARC3,12.48,12.2
2016-04-01,PARC3,12.11,11.81
2016-04-04,PARC3,11.81,11.68
2016-04-05,PARC3,11.43,11.5
2016-04-06,PARC3,11.29,11.35
2016-04-07,PARC3,11.4,11.0
2016-04-08,PARC3,11.29,11.24
2016-04-11,PARC3,11.27,11.0
2016-04-12,PARC3,11.25,11.09
2016-04-13,PARC3,11.12,10.97
2016-04-14,PARC3,11.15,10.89
2016-04-15,PARC3,11.05,10.75
2016-04-18,PARC3,10.82,10.96
2016-04-19,PARC3,10.95,11.15
2016-04-20,PARC3,11.15,11.29
2016-04-22,PARC3,11.41,11.45
2016-04-25,PARC3,11.4,11.4
2016-04-26,PARC3,11.41,11.37
2016-04-27,PARC3,11.37,11.38
2016-04-28,PARC3,11.15,11.4
2016-04-29,PARC3,11.5,11.55
2016-05-02,PARC3,11.57,11.69
2016-05-03,PARC3,11.68,11.63
2016-05-04,PARC3,11.56,11.53
2016-05-05,PARC3,11.5,11.35
2016-05-06,PARC3,11.21,11.0
2016-05-09,PARC3,11.06,11.04
2016-05-10,PARC3,11.15,11.16
2016-05-11,PARC3,11.16,11.1
2016-05-12,PARC3,11.25,11.27
2016-05-13,PARC3,11.3,11.15
2016-05-16,PARC3,11.15,10.95
2016-05-17,PARC3,10.98,11.08
2016-05-18,PARC3,10.89,11.09
2016-05-19,PARC3,11.15,11.0
2016-05-20,PARC3,11.16,11.1
2016-05-23,PARC3,10.99,11.48
2016-05-24,PARC3,11.31,11.15
